source_ome_tiff,output_ome_zarr,axes,chunks,size_bytes
/Users/makennarodriguez/Documents/tmem_neuron_aligner/reports/260213_pilot_20260623_125859/single_neuron_examples/registered_roi_stacks/E05_single_neuron_registered_tcyx.ome.tif,/Users/makennarodriguez/Documents/tmem_neuron_aligner/reports/260213_pilot_20260623_125859/single_neuron_examples/ome_zarr/E05_single_neuron_registered_tcyx.ome.zarr,tcyx,1x1x160x160,337036
/Users/makennarodriguez/Documents/tmem_neuron_aligner/reports/260213_pilot_20260623_125859/single_neuron_examples/registered_roi_stacks/F05_single_neuron_registered_tcyx.ome.tif,/Users/makennarodriguez/Documents/tmem_neuron_aligner/reports/260213_pilot_20260623_125859/single_neuron_examples/ome_zarr/F05_single_neuron_registered_tcyx.ome.zarr,tcyx,1x1x160x160,338390
