image_id,relative_path,file_name,file_format,file_size_bytes,modified_time,series_index,raw_or_derived,reader,reader_version,dimension_order,size_t,size_c,size_z,size_y,size_x,dtype,pixel_size_x_um,pixel_size_y_um,z_spacing_um,time_interval_s,objective_magnification,objective_na,objective_name,microscope_modality,stage_x_um,stage_y_um,acquisition_datetime,plate_id,well_id,field_id,sample_id,parse_status,parse_error,raw_metadata_json,fingerprint_type,fingerprint,_excitation_cleared
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_C20_F3.nd2::0,Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_C20_F3.nd2,PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_C20_F3.nd2,nd2,537595904,2026-08-28T17:03:52+00:00,0,raw,nd2,0.11.3,ZCYX,,4,16,2048,2048,uint16,0.108333333333333,0.108333333333333,0.3,,60.0,1.27,Plan Apo IR 60x WI DIC N2,,-32479.0,-26245.1,,,C20,3,,ok,,"{""sizes"": ""{'Z': 16, 'C': 4, 'Y': 2048, 'X': 2048}""}",fast,bd04930e524a6c72fb79fd0309ac94da012dd4761d725c47581a5682d1e4d944,True
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_H20_F1.nd2::0,Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_H20_F1.nd2,PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_H20_F1.nd2,nd2,470474752,2026-08-28T17:48:48+00:00,0,raw,nd2,0.11.3,ZCYX,,4,14,2048,2048,uint16,0.108333333333333,0.108333333333333,0.3,,60.0,1.27,Plan Apo IR 60x WI DIC N2,,-32617.4,-3485.2,,,H20,1,,ok,,"{""sizes"": ""{'Z': 14, 'C': 4, 'Y': 2048, 'X': 2048}""}",fast,014a5b5d964bc701ee5a553449d115d053d43a993022c68710433c9061822a78,True
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_C20_F2.nd2::0,Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_C20_F2.nd2,PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_C20_F2.nd2,nd2,436916224,2026-08-28T17:01:26+00:00,0,raw,nd2,0.11.3,ZCYX,,4,13,2048,2048,uint16,0.108333333333333,0.108333333333333,0.3,,60.0,1.27,Plan Apo IR 60x WI DIC N2,,-32094.1,-25942.3,,,C20,2,,ok,,"{""sizes"": ""{'Z': 13, 'C': 4, 'Y': 2048, 'X': 2048}""}",fast,e6e04b2da7d9b98c82f34fe5a3fcb32aef50bc28ac56e5ba0a48b563fe4a3e75,True
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_H20_F3.nd2::0,Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_H20_F3.nd2,PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_H20_F3.nd2,nd2,436916224,2026-08-28T17:52:18+00:00,0,raw,nd2,0.11.3,ZCYX,,4,13,2048,2048,uint16,0.108333333333333,0.108333333333333,0.3,,60.0,1.27,Plan Apo IR 60x WI DIC N2,,-32047.0,-3745.4,,,H20,3,,ok,,"{""sizes"": ""{'Z': 13, 'C': 4, 'Y': 2048, 'X': 2048}""}",fast,8f5482b6d34781ab730a432774d378b9da2403058ff18d3e51f270c739dc74ef,True
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_H20_F2.nd2::0,Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_H20_F2.nd2,PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_H20_F2.nd2,nd2,369799168,2026-08-28T17:50:32+00:00,0,raw,nd2,0.11.3,ZCYX,,4,11,2048,2048,uint16,0.108333333333333,0.108333333333333,0.3,,60.0,1.27,Plan Apo IR 60x WI DIC N2,,-32350.3,-3732.9,,,H20,2,,ok,,"{""sizes"": ""{'Z': 11, 'C': 4, 'Y': 2048, 'X': 2048}""}",fast,14ed1a6fb8f08c120f268ea0b9c0b21407bbf9e35f49528695a1d88f53e21336,True
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_C20_F1.nd2::0,Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_C20_F1.nd2,PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_C20_F1.nd2,nd2,537591808,2026-08-28T16:58:44+00:00,0,raw,nd2,0.11.3,ZCYX,,4,16,2048,2048,uint16,0.108333333333333,0.108333333333333,0.3,,60.0,1.27,Plan Apo IR 60x WI DIC N2,,-32805.4,-25715.4,,,C20,1,,ok,,"{""sizes"": ""{'Z': 16, 'C': 4, 'Y': 2048, 'X': 2048}""}",fast,d9a1c37ca9d892dcfacc5e3cd3c0d342c83bef82bb287d17966c2618e60215f4,True
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_C20_F4.nd2::0,Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_C20_F4.nd2,PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_C20_F4.nd2,nd2,369799168,2026-08-28T17:06:04+00:00,0,raw,nd2,0.11.3,ZCYX,,4,11,2048,2048,uint16,0.108333333333333,0.108333333333333,0.3,,60.0,1.27,Plan Apo IR 60x WI DIC N2,,-32889.0,-25726.1,,,C20,4,,ok,,"{""sizes"": ""{'Z': 11, 'C': 4, 'Y': 2048, 'X': 2048}""}",fast,f10b731bf82a53d8987a841965020da81b3cc7841b1524ab3265513dfcc8503a,True
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_H20_F4.nd2::0,Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_H20_F4.nd2,PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_H20_F4.nd2,nd2,504033280,2026-08-28T17:54:18+00:00,0,raw,nd2,0.11.3,ZCYX,,4,15,2048,2048,uint16,0.108333333333333,0.108333333333333,0.3,,60.0,1.27,Plan Apo IR 60x WI DIC N2,,-31757.6,-3596.4,,,H20,4,,ok,,"{""sizes"": ""{'Z': 15, 'C': 4, 'Y': 2048, 'X': 2048}""}",fast,6214d8a3131798062cf18c61932a0afaea53f8e52e1fbb9d4e304f850fc4088a,True
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_E20_F4.nd2::0,Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_E20_F4.nd2,PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_E20_F4.nd2,nd2,369799168,2026-08-28T17:28:18+00:00,0,raw,nd2,0.11.3,ZCYX,,4,11,2048,2048,uint16,0.108333333333333,0.108333333333333,0.3,,60.0,1.27,Plan Apo IR 60x WI DIC N2,,-34296.6,-15433.2,,,E20,4,,ok,,"{""sizes"": ""{'Z': 11, 'C': 4, 'Y': 2048, 'X': 2048}""}",fast,fe368f8b803d5629a62818c2239a8e2a65b43205170d76c06e11179dddc3b1a9,True
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_D20_F4.nd2::0,Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_D20_F4.nd2,PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_D20_F4.nd2,nd2,504033280,2026-08-28T17:15:48+00:00,0,raw,nd2,0.11.3,ZCYX,,4,15,2048,2048,uint16,0.108333333333333,0.108333333333333,0.3,,60.0,1.27,Plan Apo IR 60x WI DIC N2,,-31875.8,-21177.3,,,D20,4,,ok,,"{""sizes"": ""{'Z': 15, 'C': 4, 'Y': 2048, 'X': 2048}""}",fast,56a9543bfacc017d9c18e2b78411ee39158b9c71769d5e012a531b176c010f50,True
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_E20_F3.nd2::0,Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_E20_F3.nd2,PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_E20_F3.nd2,nd2,369799168,2026-08-28T17:25:44+00:00,0,raw,nd2,0.11.3,ZCYX,,4,11,2048,2048,uint16,0.108333333333333,0.108333333333333,0.3,,60.0,1.27,Plan Apo IR 60x WI DIC N2,,-31904.6,-15457.0,,,E20,3,,ok,,"{""sizes"": ""{'Z': 11, 'C': 4, 'Y': 2048, 'X': 2048}""}",fast,1e97457487eb0884a1e271f64467976e47e285a3be7bd27a268e0ad053c55a9b,True
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_D20_F3.nd2::0,Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_D20_F3.nd2,PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_D20_F3.nd2,nd2,436920320,2026-08-28T17:13:06+00:00,0,raw,nd2,0.11.3,ZCYX,,4,13,2048,2048,uint16,0.108333333333333,0.108333333333333,0.3,,60.0,1.27,Plan Apo IR 60x WI DIC N2,,-31892.8,-21742.3,,,D20,3,,ok,,"{""sizes"": ""{'Z': 13, 'C': 4, 'Y': 2048, 'X': 2048}""}",fast,c7369dc7f0b9c460e441ae1451edbf18d90d9fe81384f82e844ca70d2d4c63ea,True
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_D20_F2.nd2::0,Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_D20_F2.nd2,PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_D20_F2.nd2,nd2,403357696,2026-08-28T17:10:32+00:00,0,raw,nd2,0.11.3,ZCYX,,4,12,2048,2048,uint16,0.108333333333333,0.108333333333333,0.3,,60.0,1.27,Plan Apo IR 60x WI DIC N2,,-32325.3,-21187.6,,,D20,2,,ok,,"{""sizes"": ""{'Z': 12, 'C': 4, 'Y': 2048, 'X': 2048}""}",fast,40aedc2b0b1cc1a29213fc23ce172602041da3ff3b9373bf962b7df470f0a2ad,True
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_E20_F2.nd2::0,Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_E20_F2.nd2,PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_E20_F2.nd2,nd2,470478848,2026-08-28T17:23:14+00:00,0,raw,nd2,0.11.3,ZCYX,,4,14,2048,2048,uint16,0.108333333333333,0.108333333333333,0.3,,60.0,1.27,Plan Apo IR 60x WI DIC N2,,-32766.8,-17015.8,,,E20,2,,ok,,"{""sizes"": ""{'Z': 14, 'C': 4, 'Y': 2048, 'X': 2048}""}",fast,52b8653c7d8f5bf6b7c88e4c8b2472ad7c44ab730b97df6d9159f18ee722bacd,True
