well,condition,site_fov,timepoint_day,file_name,mcherry_channel,registration_channel,time_index,cell_roi_id,mask_source,cell_roi_area,total_mcherry_intensity,diffuse_mcherry_integrated_intensity,diffuse_mcherry_mean_intensity,punctate_mcherry_integrated_intensity,puncta_count,puncta_density_per_area,mean_puncta_intensity,median_puncta_area,diffuse_to_punctate_ratio,rupture_like_score,mcherry_metric_interpretation
E05,PLD3_mCherry_reporter_control,site0,8,"260216_Day8_iNeurons_WellE05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0032.nd2",561nm Binned,488nm Binned,0,whole_field_foreground,stable_channel,1014016,24009188.0,17239250.0,17.405893325805664,6769934.0,1049,0.0010345004418066042,262.3830859799744,19.0,2.546442845675815,2.546442845675815,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E05,PLD3_mCherry_reporter_control,site0,12,"260220_Day12_WellE05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0032.nd2",561nm Binned,488nm Binned,1,whole_field_foreground,stable_channel,917094,21784138.0,16228707.0,18.114194869995117,5555431.0,898,0.0009791798877748854,232.05942022242897,18.0,2.9212327540378196,2.9212327540378196,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E05,PLD3_mCherry_reporter_control,site0,16,"260224_day16_WellE05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0032.nd2",561nm Binned,488nm Binned,2,whole_field_foreground,stable_channel,963755,35465296.0,26694040.0,28.354658126831055,8771267.0,971,0.001007517470725436,363.4971379634649,18.0,3.04335052165177,3.04335052165177,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
F05,PLD3_TMEM106B_mCherry_primary,site0,8,"260216_Day8_iNeurons_WellF05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0048.nd2",561nm Binned,488nm Binned,0,whole_field_foreground,stable_channel,635466,13278062.0,10108063.0,16.288536071777344,3169999.0,617,0.0009709410102177442,194.9550347475024,22.0,3.188664412826885,3.188664412826885,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
F05,PLD3_TMEM106B_mCherry_primary,site0,12,"260220_Day12_WellF05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0048.nd2",561nm Binned,488nm Binned,1,whole_field_foreground,stable_channel,664198,10822871.0,8768672.0,13.515423774719238,2054199.0,629,0.0009470067660532748,115.17537145205257,19.0,4.268657515652443,4.268657515652443,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
F05,PLD3_TMEM106B_mCherry_primary,site0,16,"260224_day16_WellF05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0048.nd2",561nm Binned,488nm Binned,2,whole_field_foreground,stable_channel,657262,12243446.0,9969806.0,15.529099464416504,2273640.0,606,0.0009220067492097185,132.8436237750667,20.0,4.384953642615197,4.384953642615197,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
