image_id,relative_path,file_name,file_format,file_size_bytes,modified_time,series_index,raw_or_derived,reader,reader_version,dimension_order,size_t,size_c,size_z,size_y,size_x,dtype,pixel_size_x_um,pixel_size_y_um,z_spacing_um,time_interval_s,objective_magnification,objective_na,objective_name,microscope_modality,stage_x_um,stage_y_um,acquisition_datetime,plate_id,well_id,field_id,sample_id,parse_status,parse_error,raw_metadata_json,fingerprint_type,fingerprint,_excitation_cleared
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_F20_F4.nd2::0,Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_F20_F4.nd2,PLD3TMEM106B_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_F20_F4.nd2,nd2,436916224,2026-08-25T18:19:28+00:00,0,raw,nd2,0.11.3,ZCYX,,4,13,2048,2048,uint16,0.108333333333333,0.108333333333333,0.3,,60.0,1.27,Plan Apo IR 60x WI DIC N2,,-33694.6,-10100.4,,,,20,,ok,,"{""sizes"": ""{'Z': 13, 'C': 4, 'Y': 2048, 'X': 2048}""}",fast,f8d73c096da7ff4c074da3283fb74dd82adf9645e92a58da44506388bc9caddf,True
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_G20_F4.nd2::0,Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_G20_F4.nd2,PLD3TMEM106B_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_G20_F4.nd2,nd2,369799168,2026-08-25T18:42:38+00:00,0,raw,nd2,0.11.3,ZCYX,,4,11,2048,2048,uint16,0.108333333333333,0.108333333333333,0.3,,60.0,1.27,Plan Apo IR 60x WI DIC N2,,-34267.8,-7975.0,,,G20,4,,ok,,"{""sizes"": ""{'Z': 11, 'C': 4, 'Y': 2048, 'X': 2048}""}",fast,0fa87e39d704ebade95e1a0d8714da298abde240328f77c3b069fc5c4288aed6,True
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_G20_F2.nd2::0,Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_G20_F2.nd2,PLD3TMEM106B_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_G20_F2.nd2,nd2,302682112,2026-08-25T18:37:52+00:00,0,raw,nd2,0.11.3,ZCYX,,4,9,2048,2048,uint16,0.108333333333333,0.108333333333333,0.3,,60.0,1.27,Plan Apo IR 60x WI DIC N2,,-32233.0,-8221.8,,,G20,2,,ok,,"{""sizes"": ""{'Z': 9, 'C': 4, 'Y': 2048, 'X': 2048}""}",fast,bf89a3944387b924472296351e75f21688b5b96a3d6f07f7cc6e33617023c569,True
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_F20_F2.nd2::0,Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_F20_F2.nd2,PLD3TMEM106B_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_F20_F2.nd2,nd2,436916224,2026-08-25T18:09:46+00:00,0,raw,nd2,0.11.3,ZCYX,,4,13,2048,2048,uint16,0.108333333333333,0.108333333333333,0.3,,60.0,1.27,Plan Apo IR 60x WI DIC N2,,-31911.9,-10771.9,,,,20,,ok,,"{""sizes"": ""{'Z': 13, 'C': 4, 'Y': 2048, 'X': 2048}""}",fast,d089a9694409d5d6f0540574259ff436515c82750315c53253d889492dd3be96,True
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_F20_F3.nd2::0,Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_F20_F3.nd2,PLD3TMEM106B_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_F20_F3.nd2,nd2,436916224,2026-08-25T18:17:06+00:00,0,raw,nd2,0.11.3,ZCYX,,4,13,2048,2048,uint16,0.108333333333333,0.108333333333333,0.3,,60.0,1.27,Plan Apo IR 60x WI DIC N2,,-33680.6,-10071.5,,,,20,,ok,,"{""sizes"": ""{'Z': 13, 'C': 4, 'Y': 2048, 'X': 2048}""}",fast,bba7ce7a26fde2712423c7e318ed05dd86a98396078b90905a1ea9c36842e782,True
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_G20_F3.nd2::0,Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_G20_F3.nd2,PLD3TMEM106B_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_G20_F3.nd2,nd2,403357696,2026-08-25T18:40:32+00:00,0,raw,nd2,0.11.3,ZCYX,,4,12,2048,2048,uint16,0.108333333333333,0.108333333333333,0.3,,60.0,1.27,Plan Apo IR 60x WI DIC N2,,-34326.8,-5980.1,,,G20,3,,ok,,"{""sizes"": ""{'Z': 12, 'C': 4, 'Y': 2048, 'X': 2048}""}",fast,60388d2f3b4ad0bce62a74a55e742d259a08de22567b7faa06932c0c4401b353,True
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_F20_F1.nd2::0,Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_F20_F1.nd2,PLD3TMEM106B_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_F20_F1.nd2,nd2,436920320,2026-08-25T18:03:28+00:00,0,raw,nd2,0.11.3,ZCYX,,4,13,2048,2048,uint16,0.108333333333333,0.108333333333333,0.3,,60.0,1.27,Plan Apo IR 60x WI DIC N2,,-31870.8,-12007.3,,,,20,,ok,,"{""sizes"": ""{'Z': 13, 'C': 4, 'Y': 2048, 'X': 2048}""}",fast,4ea248429d92a073d1d48bc1aeb7a8ee13955a24566c90c073c774b3b6edfa0c,True
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_G20_F1.nd2::0,Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_G20_F1.nd2,PLD3TMEM106B_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_G20_F1.nd2,nd2,604708864,2026-08-25T18:36:10+00:00,0,raw,nd2,0.11.3,ZCYX,,4,18,2048,2048,uint16,0.108333333333333,0.108333333333333,0.3,,60.0,1.27,Plan Apo IR 60x WI DIC N2,,-32778.6,-7904.4,,,G20,1,,ok,,"{""sizes"": ""{'Z': 18, 'C': 4, 'Y': 2048, 'X': 2048}""}",fast,57ca46d2121c2191044d2f55119b0305d33328d8683c5235f143caf962bde2c5,True
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_H20_F4.nd2::0,Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_H20_F4.nd2,PLD3TMEM106B_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_H20_F4.nd2,nd2,537591808,2026-08-28T11:06:12+00:00,0,raw,nd2,0.11.3,ZCYX,,4,16,2048,2048,uint16,0.108333333333333,0.108333333333333,0.3,,60.0,1.27,Plan Apo IR 60x WI DIC N2,,-34214.2,-2954.7,,,H20,4,,ok,,"{""sizes"": ""{'Z': 16, 'C': 4, 'Y': 2048, 'X': 2048}""}",fast,886d1334f9560f99966c2f9e5a5c204f1788cce335f40030667d7a09a468c583,True
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C20_F4.nd2::0,Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C20_F4.nd2,PLD3TMEM106B_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C20_F4.nd2,nd2,504049664,2026-08-25T17:27:38+00:00,0,raw,nd2,0.11.3,ZCYX,,4,15,2048,2048,uint16,0.108333333333333,0.108333333333333,0.3,,60.0,1.27,Plan Apo IR 60x WI DIC N2,,-33959.1,-26005.3,,,C20,4,,ok,,"{""sizes"": ""{'Z': 15, 'C': 4, 'Y': 2048, 'X': 2048}""}",fast,80781d8d9bdba99eb4c22895eb9ba9f1f3e4522a106ad8548d061f5286b33f1d,True
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C20_F1.nd2::0,Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C20_F1.nd2,PLD3TMEM106B_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C20_F1.nd2,nd2,437006336,2026-08-25T17:13:46+00:00,0,raw,nd2,0.11.3,ZCYX,,4,13,2048,2048,uint16,0.108333333333333,0.108333333333333,0.3,,60.0,1.27,Plan Apo IR 60x WI DIC N2,,-32717.9,-25240.6,,,C20,1,,ok,,"{""sizes"": ""{'Z': 13, 'C': 4, 'Y': 2048, 'X': 2048}""}",fast,b04c5a3472c15fea7004de7b5a5d7b5b79e93e03138ce56ad485de3040d0ba0b,True
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_H20_F3.nd2::0,Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_H20_F3.nd2,PLD3TMEM106B_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_H20_F3.nd2,nd2,403361792,2026-08-28T11:03:32+00:00,0,raw,nd2,0.11.3,ZCYX,,4,12,2048,2048,uint16,0.108333333333333,0.108333333333333,0.3,,60.0,1.27,Plan Apo IR 60x WI DIC N2,,-34522.0,-2285.1,,,H20,3,,ok,,"{""sizes"": ""{'Z': 12, 'C': 4, 'Y': 2048, 'X': 2048}""}",fast,17c6485a7c71d32ccddfcb2d56633fe109ff55daefd3306c22eabbb5dfb55919,True
