cell_id,cell_area_px,n_lysosomes,lyso_area_frac,lyso_mean_size_um2,lamp1_mean,lamp1_integrated,perinuclear_index,tmem_manders_m1,tmem_pearson,qc_pass,qc_reason,condition,well,fov,timepoint,plate,file_path,n_z_slices
16,15025,2,0.12905158069883527,11.308247999999999,1265.251220703125,19010400.0,13.970616285381535,0.0,0.12888676301532417,True,,KO,C8,1,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,13
17,280,0,0.0,0.0,12.899999618530273,3612.0,,0.0,0.10102416320350276,False,size_outlier,KO,C8,1,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,13
18,21557,5,0.07649487405483138,3.8467871999999996,928.227294921875,20009796.0,13.425633713747782,0.0,0.2629225992302351,True,,KO,C8,1,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,13
19,12986,4,0.11666409979978438,4.417739999999999,1257.2117919921875,16326153.0,19.138368712086084,0.0,0.27610647508388275,True,,KO,C8,1,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,13
1,9442,3,0.00593094683329803,0.217728,181.6651153564453,1715282.0,12.354615628492331,0.0,-0.039648775838594615,True,,KO,C8,2,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,12
2,8635,0,0.0,0.0,89.87249755859375,776049.0,,0.0,-0.05702905302921011,True,,KO,C8,2,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,12
3,12615,3,0.0053111375346809354,0.26049599999999995,163.55726623535156,2063275.0,15.490423893828126,0.0,-0.023649960910139812,True,,KO,C8,2,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,12
4,18731,1,0.0007474240563771288,0.163296,118.99177551269531,2228835.0,7.364193312743691,0.0,0.020802581148615853,True,,KO,C8,2,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,12
5,8618,0,0.0,0.0,30.209213256835938,260343.0,,0.0,-0.02607503509292642,True,,KO,C8,2,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,12
6,15493,1,0.00019363583553863036,0.034991999999999995,91.07894134521484,1411086.0,10.381190179279738,0.0,-0.0028275709810846312,True,,KO,C8,2,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,12
