cell_id,cell_area_px,n_lysosomes,lyso_area_frac,lyso_mean_size_um2,lamp1_mean,lamp1_integrated,perinuclear_index,tmem_manders_m1,tmem_pearson,qc_pass,qc_reason,condition,well,fov,timepoint,plate,file_path,n_z_slices
1,10266,0,0.0,0.0,58.898887634277344,604656.0,,0.0,-0.12140152295097356,True,,KO,C8,1,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,9
2,14206,0,0.0,0.0,49.36632537841797,701298.0,,0.0,0.023148502234036344,True,,KO,C8,1,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,9
3,15431,0,0.0,0.0,120.01043701171875,1851881.0,,0.0,-0.09593124114221736,True,,KO,C8,1,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,9
4,3442,0,0.0,0.0,19.07437515258789,65654.0,,0.0,-0.03846021729008104,True,,KO,C8,1,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,9
5,16434,0,0.0,0.0,50.909393310546875,836645.0,,0.0,0.1219327477142412,True,,KO,C8,1,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,9
6,10864,0,0.0,0.0,157.1085205078125,1706827.0,,0.0,0.1406868544067885,True,,KO,C8,1,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,9
7,7021,0,0.0,0.0,22.102548599243164,155182.0,,0.0,-0.015348249801441272,True,,KO,C8,1,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,9
8,11047,0,0.0,0.0,53.97872543334961,596303.0,,0.0,-0.006053902813246479,True,,KO,C8,1,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,9
9,9131,0,0.0,0.0,77.59161376953125,708489.0,,0.0,-0.09069127709556692,True,,KO,C8,1,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,9
10,9387,0,0.0,0.0,58.75040054321289,551490.0,,0.0,-0.01983647563530841,True,,KO,C8,1,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,9
11,12628,0,0.0,0.0,164.62701416015625,2078910.0,,0.0,-0.0329765116113245,True,,KO,C8,1,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,9
12,15265,0,0.0,0.0,44.22901916503906,675156.0,,0.0,-0.04682293295576788,True,,KO,C8,1,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,9
13,8648,0,0.0,0.0,13.433626174926758,116174.0,,0.0,0.09925282313339623,True,,KO,C8,1,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,9
14,14993,0,0.0,0.0,118.27159118652344,1773246.0,,0.0,-0.07393409385290356,True,,KO,C8,1,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,9
15,17180,0,0.0,0.0,123.8298568725586,2127397.0,,0.0,-0.013676895095393292,True,,KO,C8,1,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,9
16,13405,0,0.0,0.0,150.41522216796875,2016316.0,,0.0,-0.14227650793259047,True,,KO,C8,1,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,9
17,10468,0,0.0,0.0,94.45939636230469,988801.0,,0.0,-0.10273006681815772,True,,KO,C8,1,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,9
18,9150,0,0.0,0.0,212.47857666015625,1944179.0,,0.0,0.0076890344924938105,True,,KO,C8,1,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,9
19,11135,1,0.0016165244723843736,0.20995199999999997,61.543243408203125,685284.0,1.3612965960384407,0.0,-0.026175514158056842,True,,KO,C8,1,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,9
20,20944,0,0.0,0.0,148.00592041015625,3099836.0,,0.0,0.09704202449905226,True,,KO,C8,1,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,9
21,4991,0,0.0,0.0,9.253856658935547,46186.0,,0.0,0.16025788345494607,True,,KO,C8,1,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,9
1,8094,0,0.0,0.0,129.45712280273438,1047826.0,,0.0,0.2931215395841833,True,,KO,C8,2,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,13
2,12188,0,0.0,0.0,302.3167724609375,3684637.0,,0.0,0.18497774430978062,True,,KO,C8,2,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,13
3,13389,0,0.0,0.0,536.92724609375,7188919.0,,0.0,0.21198732285278177,True,,KO,C8,2,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,13
4,3538,0,0.0,0.0,503.1127624511719,1780013.0,,0.0,0.15784424590900617,True,,KO,C8,2,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,13
5,8749,0,0.0,0.0,514.9203491210938,4505038.0,,0.0008168632630258799,0.07178496020511253,True,,KO,C8,2,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,13
6,16468,0,0.0,0.0,3.3999879360198975,55991.0,,0.0,0.0519232807526897,True,,KO,C8,2,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,13
7,14491,0,0.0,0.0,183.7628936767578,2662908.0,,0.0,0.06416964306218012,True,,KO,C8,2,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,13
8,12061,0,0.0,0.0,57.90937805175781,698445.0,,0.0,-0.003135165313601969,True,,KO,C8,2,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,13
9,7519,1,0.0021279425455512702,0.18662399999999998,153.38169860839844,1153277.0,3.1341311334056656,0.0,0.222366999842504,True,,KO,C8,2,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,13
10,10902,0,0.0,0.0,120.78545379638672,1316803.0,,0.0,0.014585098424574634,True,,KO,C8,2,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,13
11,20020,0,0.0,0.0,149.16668701171875,2986317.0,,0.0,0.13436804524933818,True,,KO,C8,2,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,13
12,12397,0,0.0,0.0,168.18972778320312,2085048.0,,0.0,-0.02101571412544435,True,,KO,C8,2,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,13
13,14162,1,0.001906510379889846,0.314928,71.42910766601562,1011579.0,15.286545785012638,0.0,0.6893856434970801,True,,KO,C8,2,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,13
14,4823,0,0.0,0.0,380.2915344238281,1834146.0,,0.0,0.03081785531123711,True,,KO,C8,2,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,13
15,14418,2,0.0011790817034262728,0.099144,670.8060913085938,9671682.0,4.586681024951488,0.0,0.03256963049942612,True,,KO,C8,2,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,13
16,10889,0,0.0,0.0,373.74176025390625,4069674.0,,0.0,0.03814496033254074,False,border,KO,C8,2,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,13
17,18269,0,0.0,0.0,353.9678039550781,6466638.0,,0.0,0.07312834987240431,True,,KO,C8,2,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,13
18,11586,0,0.0,0.0,283.0093078613281,3278946.0,,0.0,0.01749139827595401,True,,KO,C8,2,d14,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d14/TMEM_KO/TMEMKO_Plate1_d14_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,13
