cell_id,cell_area_px,n_lysosomes,lyso_area_frac,lyso_mean_size_um2,lamp1_mean,lamp1_integrated,perinuclear_index,tmem_manders_m1,tmem_pearson,qc_pass,qc_reason,condition,well,fov,timepoint,plate,file_path,n_z_slices
1,18592,1,0.0004840791738382,0.1049759999999999,86.80970001220703,1613966.0,4.9038801929811,6.195917308104981e-07,-0.0280759890094068,True,,KO,C8,1.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,13
2,10578,0,0.0,0.0,43.71506881713867,462418.0,,0.0,-0.0304789899138056,True,,KO,C8,1.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,13
3,8234,1,0.169419480204032,16.271279999999997,1874.8123779296875,15437205.0,8.698897912520861,0.0,0.1193439123669041,True,,KO,C8,1.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,13
4,22060,10,0.0815049864007252,2.0971872,918.5858764648438,20264004.0,10.422454550509666,0.0019404852064326,0.0110138909293857,True,,KO,C8,1.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,13
5,21241,10,0.0627559907725625,1.5548112,763.75,16222814.0,7.507712280824816,0.0,0.1965719607877998,True,,KO,C8,1.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,13
6,24219,6,0.1242000082579792,5.847551999999999,1197.525634765625,29002874.0,8.15280905262761,0.0,0.0911087075857269,True,,KO,C8,1.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,13
7,12895,8,0.0935246219464908,1.7583479999999998,947.2303466796876,12214535.0,17.12264954732849,0.0,0.445098132140283,True,,KO,C8,1.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,13
8,18732,7,0.0919816357036088,2.8710102857142856,927.1007690429688,17366452.0,6.40851033313732,0.0,0.146105985366258,True,,KO,C8,1.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,13
9,19870,13,0.0398087569199798,0.7097095384615384,579.4769897460938,11514208.0,12.892350875197614,0.0,0.1527103296314843,True,,KO,C8,1.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,13
10,10643,5,0.0855961664944094,2.1251808,991.9661865234376,10557496.0,21.207042479198503,0.0,0.1449000403411187,True,,KO,C8,1.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,13
11,11795,7,0.1376854599406528,2.7060479999999996,1576.9271240234375,18599856.0,23.162177682150848,0.0,0.5569947732222693,True,,KO,C8,1.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,13
12,12432,6,0.0796332046332046,1.92456,923.5521240234376,11481600.0,21.37367682820648,0.0,0.0382829492282944,True,,KO,C8,1.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,13
13,16233,8,0.0519928540627117,1.230552,640.717041015625,10400760.0,13.04081754349756,0.0,0.2800911642900132,True,,KO,C8,1.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,13
14,26719,8,0.0201729106628242,0.785862,384.0882873535156,10262455.0,11.605017477175386,0.0,0.1690934422858424,True,,KO,C8,1.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,13
15,390,0,0.0,0.0,158.4871826171875,61810.0,,0.0,0.7200927985507448,False,size_outlier,KO,C8,1.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,13
16,15025,2,0.1287188019966722,11.279088,1265.251220703125,19010400.0,13.971258035000176,0.0,0.1288867630153241,True,,KO,C8,1.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,13
17,280,0,0.0,0.0,12.899999618530272,3612.0,,0.0,0.1010241632035027,False,size_outlier,KO,C8,1.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,13
18,21557,4,0.0761237649023519,4.785156,928.227294921875,20009796.0,13.426015157749925,0.0,0.2629225992302351,True,,KO,C8,1.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,13
19,12986,4,0.1164330817803788,4.408992,1257.2117919921875,16326153.0,19.13800880002995,0.0,0.2761064750838827,True,,KO,C8,1.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,13
1,9442,2,0.0517898750264774,2.851848,181.6651153564453,1715282.0,12.374943496594655,0.0,-0.0396487758385946,True,,KO,C8,2.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,12
2,8635,4,0.0123914302258251,0.3120119999999999,89.87249755859375,776049.0,12.28230010906147,0.0,-0.0570290530292101,True,,KO,C8,2.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,12
3,12615,6,0.0342449464922711,0.8398079999999999,163.55726623535156,2063275.0,15.46074785948078,0.0,-0.0236499609101398,True,,KO,C8,2.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,12
4,18731,8,0.0096097378677059,0.2624399999999999,118.99177551269533,2228835.0,6.2782449042753425,0.0,0.0208025811486158,True,,KO,C8,2.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,12
5,8618,1,0.0010443258296588,0.1049759999999999,30.209213256835938,260343.0,10.098764549488337,0.0,-0.0260750350929264,True,,KO,C8,2.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,12
6,15493,4,0.0121345123604208,0.5482079999999999,91.07894134521484,1411086.0,10.465642932589406,0.0,-0.0028275709810846,True,,KO,C8,2.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,12
7,10203,1,0.0002940311673037,0.0349919999999999,74.37714385986328,758870.0,20.8418485927106,0.0,-0.092850470846007,True,,KO,C8,2.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,12
8,17577,9,0.0341355180064857,0.7776,156.55038452148438,2751686.0,20.4658518999169,0.0,0.0514871083784341,True,,KO,C8,2.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,12
9,8120,11,0.1147783251231527,0.9882589090909092,502.5023498535156,4080319.0,25.64361283212933,0.0,0.0471719575809123,True,,KO,C8,2.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,12
10,18956,16,0.0926883308714918,1.2808529999999998,393.83197021484375,7465479.0,2.8003706086554527,0.0,0.0311267147785638,True,,KO,C8,2.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,12
11,4100,2,0.0192682926829268,0.4607279999999999,116.4497528076172,477444.0,43.91497284913504,0.0,0.0568291309766914,True,,KO,C8,2.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,12
12,1106,0,0.0,0.0,8.08227825164795,8939.0,,0.0,0.0792059507186307,False,size_outlier,KO,C8,2.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,12
13,9335,10,0.0343867166577396,0.3744144,178.9854278564453,1670829.0,1.2766000770633523,0.0,0.0160763473753884,True,,KO,C8,2.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,12
14,9617,6,0.0289071435998752,0.540432,156.37974548339844,1503904.0,10.862437283982525,0.0,-0.0495647096004728,True,,KO,C8,2.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,12
15,8776,3,0.0091157702825888,0.31104,76.1229476928711,668055.0,10.752421118089922,0.0,0.0340422294022911,True,,KO,C8,2.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,12
16,14069,15,0.0242376856919468,0.2651616,194.7933807373047,2740548.0,13.004690729495207,0.0,-0.0494787123637009,True,,KO,C8,2.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,12
17,9551,9,0.0279551879384357,0.346032,160.27923583984375,1530827.0,29.17950791572864,0.0,-0.0568206968303345,True,,KO,C8,2.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,12
18,6884,6,0.0565078442765833,0.7562159999999999,271.8002624511719,1871073.0,16.861076586323176,0.0,0.0365219454242604,True,,KO,C8,2.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,12
19,9082,12,0.097115172869412,0.857304,378.4500122070313,3437083.0,26.65745353947782,0.0,-0.0215549036746417,True,,KO,C8,2.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,12
20,3307,0,0.0,0.0,19.10825538635254,63191.0,,0.0,-0.0861910145158475,True,,KO,C8,2.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,12
21,13663,9,0.093390909756276,1.6536959999999998,375.9727783203125,5136916.0,16.950805242103762,0.0,0.0819832674153435,True,,KO,C8,2.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,12
22,11269,18,0.061851095926879,0.4516559999999999,298.7051086425781,3366108.0,13.18944545944649,0.0,-0.0749072813545175,True,,KO,C8,2.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,12
23,6861,6,0.0728756740999854,0.972,294.14837646484375,2018152.0,20.23855776421239,0.0,0.1022581448581464,True,,KO,C8,2.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,12
24,17148,7,0.0579659435502682,1.6562879999999998,263.82305908203125,4524038.0,12.377519474808556,0.0,0.0375280893596492,True,,KO,C8,2.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,12
25,7655,6,0.0785107772697583,1.168344,299.7491760253906,2294580.0,29.95262959281494,0.0,0.0081575321445536,False,border,KO,C8,2.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,12
1,1743,0,0.0,0.0,115.33390808105467,201027.0,,0.0,-0.0688046292784865,False,size_outlier,KO,C8,3.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F3.nd2,14
2,10154,0,0.0,0.0,213.1581573486328,2164408.0,,0.0,-0.0627000175676613,True,,KO,C8,3.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F3.nd2,14
3,13353,3,0.0376694375795701,1.9556639999999996,417.3132629394531,5572384.0,9.74693697052578,0.0,-0.0325867321787884,True,,KO,C8,3.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F3.nd2,14
4,12529,3,0.0670444568600846,3.26592,621.9664916992188,7792618.0,19.775659958371772,0.0,-0.0133053808929204,True,,KO,C8,3.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F3.nd2,14
5,11551,6,0.0344558912648255,0.7737119999999998,447.2298583984375,5165952.0,6.456305872456859,9.465825132792816e-05,-0.0298094358185409,True,,KO,C8,3.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F3.nd2,14
6,12657,2,0.0046614521608596,0.3440879999999999,243.4242706298828,3081021.0,18.189020505488195,0.0,0.0048400143337447,True,,KO,C8,3.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F3.nd2,14
7,9807,7,0.061180789232181,0.9997714285714284,950.5774536132812,9322313.0,9.27043168459022,0.0,0.1659815104700042,True,,KO,C8,3.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F3.nd2,14
8,6012,0,0.0,0.0,182.7722930908203,1098827.0,,0.0,0.5360814363856975,True,,KO,C8,3.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F3.nd2,14
9,5921,0,0.0,0.0,60.2391471862793,356676.0,,0.0,-0.0162321343924063,True,,KO,C8,3.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F3.nd2,14
10,11981,0,0.0,0.0,158.64718627929688,1900752.0,,0.0,0.2235552075134743,True,,KO,C8,3.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F3.nd2,14
11,13835,11,0.0294181423924828,0.4315679999999999,441.19183349609375,6103889.0,7.522838019692922,0.0,-0.01719576298402,True,,KO,C8,3.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F3.nd2,14
12,9176,5,0.0180906713164777,0.3872448,349.68963623046875,3208752.0,10.344003567912209,0.0,0.1235843086457896,True,,KO,C8,3.0,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F3.nd2,14
