cell_id,cell_area_px,n_lysosomes,lyso_area_frac,lyso_mean_size_um2,lamp1_mean,lamp1_integrated,perinuclear_index,tmem_manders_m1,tmem_pearson,qc_pass,qc_reason,condition,well,fov,timepoint,plate,file_path,n_z_slices
1,17183,6,0.00355002036896933,0.11858399999999998,677.9288940429688,11648852.0,3.403218182841308,0.0,0.049866726096331235,True,,KO,C8,1,d28,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d28/TMEM_KO/TMEMKO_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,9
2,10658,4,0.0021580033777444173,0.06706799999999999,287.3099060058594,3062149.0,3.152548871421741,0.0,0.016115610270409704,True,,KO,C8,1,d28,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d28/TMEM_KO/TMEMKO_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,9
3,11127,12,0.058775950390940954,0.6356879999999999,1185.135986328125,13187008.0,12.009703974751417,0.0,-0.02061089659898136,True,,KO,C8,1,d28,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d28/TMEM_KO/TMEMKO_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,9
4,11605,14,0.03937957776820336,0.3807462857142857,1085.591064453125,12598284.0,5.039280583456998,0.0,0.1946137358421622,True,,KO,C8,1,d28,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d28/TMEM_KO/TMEMKO_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,9
5,4336,0,0.0,0.0,361.8187255859375,1568846.0,,0.0,0.051885274850544595,True,,KO,C8,1,d28,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d28/TMEM_KO/TMEMKO_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,9
6,7612,0,0.0,0.0,65.1048355102539,495578.0,,0.0,0.05326643698687325,True,,KO,C8,1,d28,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d28/TMEM_KO/TMEMKO_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,9
7,13295,1,0.0009025949605114704,0.13996799999999998,355.31439208984375,4723905.0,25.674870366038363,0.0,0.03305298067593111,True,,KO,C8,1,d28,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d28/TMEM_KO/TMEMKO_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,9
8,12237,3,0.0026967393969110076,0.128304,235.4883575439453,2881671.0,11.691142525937076,0.0,0.06554176914441817,True,,KO,C8,1,d28,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d28/TMEM_KO/TMEMKO_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,9
9,4698,0,0.0,0.0,124.79629516601562,586293.0,,0.0,0.11627939677964204,True,,KO,C8,1,d28,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d28/TMEM_KO/TMEMKO_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,9
10,17745,11,0.014595660749506903,0.27463418181818183,555.6509399414062,9860026.0,12.06984556702193,0.0,0.02515935266681024,True,,KO,C8,1,d28,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d28/TMEM_KO/TMEMKO_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,9
