well,condition,days_included,review_or_exclude_days,registered_full_stack,registered_common_overlap_stack,registration_qc_csv,registration_qc_montage,full_shape_tcyx,common_overlap_shape_tcyx,full_height,full_width,overlap_height,overlap_width,full_area_pixels,overlap_area_pixels,retained_fraction,retained_percent,overlap_crop_y_start_registered,overlap_crop_y_stop_registered,overlap_crop_x_start_registered,overlap_crop_x_stop_registered,original_pixel_traceability,registration_shift_summary,large_shift_days,min_day_overlap_fraction,qc_status,overlap_warning,black_border_edge_regions_removed,output_level,recommended_use,roi_metrics_source,roi_metrics_overlap_only,roi_count,dashboard_overlap_previews_dir,dashboard_roi_previews_dir
I12,PLD3_mCherry_reporter_control,8|12|16|20|25|29|32|36|39,12|16|25|32|36,Large microscopy file stored locally/shared drive,LOCAL_PROCESSED_OUTPUT/full_mcherry_valid_queue_abc/wells/I12/qc/I12_registration_qc.csv,LOCAL_PROCESSED_OUTPUT/full_mcherry_valid_queue_abc/wells/I12/qc/I12_registration_qc_montage.png,9x3x2868x2868,9x3x1659x473,2868,2868,1659,473,8225424,784707,0.09540018848876362,9.540018848876363,1209,2868,991,1464,Overlap crop is stored in registered-frame coordinates. Per-day original-space mapping requires applying the inverse registration shift for each day.,"day8:dy=0.0,dx=0.0|day12:dy=0.0,dx=-1403.9|day16:dy=0.0,dx=990.5|day20:dy=0.0,dx=178.4|day25:dy=1208.4,dx=1.1|day29:dy=0.0,dx=-384.2|day32:dy=0.0,dx=-713.5|day36:dy=0.0,dx=-1336.3|day39:dy=0.0,dx=-401.1",5,0.5104951100369378,review_low_overlap,very_low_overlap_retained,True,overlap_only_analysis,review_only,registered_common_overlap,True,5,LOCAL_PROCESSED_OUTPUT/dashboard/previews/I12,LOCAL_PROCESSED_OUTPUT/dashboard/roi_previews/I12
M09,PLD3_mCherry_reporter_control,8|12|16|20|25|29|32|36|39,12|16|29|36|39,Large microscopy file stored locally/shared drive,LOCAL_PROCESSED_OUTPUT/full_mcherry_valid_queue_abc/wells/M09/qc/M09_registration_qc.csv,LOCAL_PROCESSED_OUTPUT/full_mcherry_valid_queue_abc/wells/M09/qc/M09_registration_qc_montage.png,9x3x2868x2868,9x3x1812x464,2868,2868,1812,464,8225424,840768,0.10221576419647181,10.221576419647182,1056,2868,1062,1526,Overlap crop is stored in registered-frame coordinates. Per-day original-space mapping requires applying the inverse registration shift for each day.,"day8:dy=0.0,dx=0.0|day12:dy=0.0,dx=505.8|day16:dy=0.0,dx=-803.7|day20:dy=409.0,dx=0.0|day25:dy=257.3,dx=0.0|day29:dy=0.0,dx=-1341.4|day32:dy=0.0,dx=357.4|day36:dy=1056.0,dx=0.0|day39:dy=0.0,dx=1061.2",5,0.5322872997161567,review_low_overlap,very_low_overlap_retained,True,overlap_only_analysis,review_only,registered_common_overlap,True,5,LOCAL_PROCESSED_OUTPUT/dashboard/previews/M09,LOCAL_PROCESSED_OUTPUT/dashboard/roi_previews/M09
E17,PLD3_mCherry_reporter_control,8|12|16|20|25|29|32|36|39,12|16|20|25|29|39,Large microscopy file stored locally/shared drive,LOCAL_PROCESSED_OUTPUT/full_mcherry_valid_queue_abc/wells/E17/qc/E17_registration_qc.csv,LOCAL_PROCESSED_OUTPUT/full_mcherry_valid_queue_abc/wells/E17/qc/E17_registration_qc_montage.png,9x3x2868x2868,9x3x944x925,2868,2868,944,925,8225424,873200,0.10615866124348118,10.615866124348118,1326,2270,996,1921,Overlap crop is stored in registered-frame coordinates. Per-day original-space mapping requires applying the inverse registration shift for each day.,"day8:dy=0.0,dx=0.0|day12:dy=-595.1,dx=0.0|day16:dy=0.0,dx=-946.1|day20:dy=0.0,dx=-713.1|day25:dy=1325.4,dx=0.0|day29:dy=0.0,dx=996.0|day32:dy=-234.4,dx=0.0|day36:dy=-68.5,dx=0.0|day39:dy=-597.7,dx=0.0",6,0.5378661002740368,review_low_overlap,very_low_overlap_retained,True,overlap_only_analysis,review_only,registered_common_overlap,True,5,LOCAL_PROCESSED_OUTPUT/dashboard/previews/E17,LOCAL_PROCESSED_OUTPUT/dashboard/roi_previews/E17
E16,PLD3_mCherry_reporter_control,8|12|16|20|25|29|32|36|39,16|25|39,Large microscopy file stored locally/shared drive,LOCAL_PROCESSED_OUTPUT/full_mcherry_valid_queue_abc/wells/E16/qc/E16_registration_qc.csv,LOCAL_PROCESSED_OUTPUT/full_mcherry_valid_queue_abc/wells/E16/qc/E16_registration_qc_montage.png,9x3x2868x2868,9x3x529x1687,2868,2868,529,1687,8225424,892423,0.10849568362676501,10.849568362676502,1422,1951,0,1687,Overlap crop is stored in registered-frame coordinates. Per-day original-space mapping requires applying the inverse registration shift for each day.,"day8:dy=0.0,dx=0.0|day12:dy=-91.9,dx=0.0|day16:dy=0.0,dx=-1180.4|day20:dy=-80.0,dx=0.0|day25:dy=-916.2,dx=0.0|day29:dy=-3.5,dx=0.0|day32:dy=398.8,dx=0.0|day36:dy=-158.3,dx=0.0|day39:dy=1422.0,dx=0.0",3,0.50418410041841,review_low_overlap,very_low_overlap_retained,True,overlap_only_analysis,review_only,registered_common_overlap,True,5,LOCAL_PROCESSED_OUTPUT/dashboard/previews/E16,LOCAL_PROCESSED_OUTPUT/dashboard/roi_previews/E16
F18,PLD3_TMEM106B_mCherry_primary,8|12|16|20|25|29|32|36|39,12|16|20|25|29|32|39,Large microscopy file stored locally/shared drive,LOCAL_PROCESSED_OUTPUT/full_mcherry_valid_queue_abc/wells/F18/qc/F18_registration_qc.csv,LOCAL_PROCESSED_OUTPUT/full_mcherry_valid_queue_abc/wells/F18/qc/F18_registration_qc_montage.png,9x3x2868x2868,9x3x2868x326,2868,2868,2868,326,8225424,934968,0.11366806136680614,11.366806136680614,0,2868,1141,1467,Overlap crop is stored in registered-frame coordinates. Per-day original-space mapping requires applying the inverse registration shift for each day.,"day8:dy=0.0,dx=0.0|day12:dy=0.0,dx=742.3|day16:dy=0.0,dx=1140.1|day20:dy=0.0,dx=-1215.2|day25:dy=0.0,dx=-666.5|day29:dy=0.0,dx=-511.8|day32:dy=0.0,dx=-1323.2|day36:dy=0.0,dx=171.8|day39:dy=0.0,dx=-1400.1",7,0.5118200921945825,review_low_overlap,very_low_overlap_retained,True,overlap_only_analysis,review_only,registered_common_overlap,True,5,LOCAL_PROCESSED_OUTPUT/dashboard/previews/F18,LOCAL_PROCESSED_OUTPUT/dashboard/roi_previews/F18
E11,PLD3_mCherry_reporter_control,8|12|16|20|25|29|32|36|39,12|20|25|29|32|36|39,Large microscopy file stored locally/shared drive,LOCAL_PROCESSED_OUTPUT/full_mcherry_valid_queue_abc/wells/E11/qc/E11_registration_qc.csv,LOCAL_PROCESSED_OUTPUT/full_mcherry_valid_queue_abc/wells/E11/qc/E11_registration_qc_montage.png,9x3x2868x2868,9x3x621x1512,2868,2868,621,1512,8225424,938952,0.11415241329808652,11.415241329808651,972,1593,0,1512,Overlap crop is stored in registered-frame coordinates. Per-day original-space mapping requires applying the inverse registration shift for each day.,"day8:dy=0.0,dx=0.0|day12:dy=-585.0,dx=0.0|day16:dy=0.0,dx=-273.3|day20:dy=-550.5,dx=0.0|day25:dy=0.0,dx=-1207.6|day29:dy=0.0,dx=-1355.7|day32:dy=972.0,dx=0.0|day36:dy=-1157.5,dx=0.0|day39:dy=-1274.5,dx=0.0",7,0.5273012722552737,review_low_overlap,very_low_overlap_retained,True,overlap_only_analysis,review_only,registered_common_overlap,True,5,LOCAL_PROCESSED_OUTPUT/dashboard/previews/E11,LOCAL_PROCESSED_OUTPUT/dashboard/roi_previews/E11
M20,PLD3_mCherry_reporter_control,8|12|16|20|25|29|32|36|39,12|20|36,Large microscopy file stored locally/shared drive,LOCAL_PROCESSED_OUTPUT/full_mcherry_valid_queue_abc/wells/M20/qc/M20_registration_qc.csv,LOCAL_PROCESSED_OUTPUT/full_mcherry_valid_queue_abc/wells/M20/qc/M20_registration_qc_montage.png,9x3x2868x2868,9x3x362x2624,2868,2868,362,2624,8225424,949888,0.11548194962350877,11.548194962350877,1271,1633,0,2624,Overlap crop is stored in registered-frame coordinates. Per-day original-space mapping requires applying the inverse registration shift for each day.,"day8:dy=0.0,dx=0.0|day12:dy=-979.8,dx=0.0|day16:dy=0.0,dx=-243.2|day20:dy=1271.0,dx=0.0|day25:dy=27.3,dx=0.0|day29:dy=-312.9,dx=0.0|day32:dy=-352.5,dx=0.0|day36:dy=-1234.2,dx=0.0|day39:dy=-44.1,dx=0.0",3,0.5568340306834031,review_low_overlap,very_low_overlap_retained,True,overlap_only_analysis,review_only,registered_common_overlap,True,5,LOCAL_PROCESSED_OUTPUT/dashboard/previews/M20,LOCAL_PROCESSED_OUTPUT/dashboard/roi_previews/M20
M11,PLD3_mCherry_reporter_control,8|12|16|20|25|29|32|36|39,16|25|29|32|36,Large microscopy file stored locally/shared drive,LOCAL_PROCESSED_OUTPUT/full_mcherry_valid_queue_abc/wells/M11/qc/M11_registration_qc.csv,LOCAL_PROCESSED_OUTPUT/full_mcherry_valid_queue_abc/wells/M11/qc/M11_registration_qc_montage.png,9x3x2868x2868,9x3x1330x752,2868,2868,1330,752,8225424,1000160,0.12159373182464515,12.159373182464515,674,2004,1007,1759,Overlap crop is stored in registered-frame coordinates. Per-day original-space mapping requires applying the inverse registration shift for each day.,"day8:dy=0.0,dx=0.0|day12:dy=285.6,dx=0.0|day16:dy=-863.4,dx=0.0|day20:dy=312.2,dx=0.0|day25:dy=673.4,dx=1.1|day29:dy=0.0,dx=1006.7|day32:dy=0.0,dx=-770.0|day36:dy=0.0,dx=-1108.8|day39:dy=0.0,dx=340.9",5,0.6133891043137639,review_low_overlap,very_low_overlap_retained,True,overlap_only_analysis,review_only,registered_common_overlap,True,5,LOCAL_PROCESSED_OUTPUT/dashboard/previews/M11,LOCAL_PROCESSED_OUTPUT/dashboard/roi_previews/M11
F16,PLD3_TMEM106B_mCherry_primary,8|12|16|20|25|29|32|36|39,16|20|29|32|39,Large microscopy file stored locally/shared drive,LOCAL_PROCESSED_OUTPUT/full_mcherry_valid_queue_abc/wells/F16/qc/F16_registration_qc.csv,LOCAL_PROCESSED_OUTPUT/full_mcherry_valid_queue_abc/wells/F16/qc/F16_registration_qc_montage.png,9x3x2868x2868,9x3x1646x621,2868,2868,1646,621,8225424,1022166,0.1242690954290016,12.426909542900159,1222,2868,1314,1935,Overlap crop is stored in registered-frame coordinates. Per-day original-space mapping requires applying the inverse registration shift for each day.,"day8:dy=0.0,dx=0.0|day12:dy=294.0,dx=0.0|day16:dy=0.0,dx=1313.9|day20:dy=0.0,dx=-932.3|day25:dy=0.0,dx=-309.2|day29:dy=880.0,dx=0.0|day32:dy=1222.0,dx=0.0|day36:dy=0.0,dx=357.3|day39:dy=647.9,dx=0.0",5,0.5418758631750131,review_low_overlap,very_low_overlap_retained,True,overlap_only_analysis,review_only,registered_common_overlap,True,5,LOCAL_PROCESSED_OUTPUT/dashboard/previews/F16,LOCAL_PROCESSED_OUTPUT/dashboard/roi_previews/F16
I06,PLD3_mCherry_reporter_control,8|12|16|20|25|29|32|36|39,16|20|29|32|36|39,Large microscopy file stored locally/shared drive,LOCAL_PROCESSED_OUTPUT/full_mcherry_valid_queue_abc/wells/I06/qc/I06_registration_qc.csv,LOCAL_PROCESSED_OUTPUT/full_mcherry_valid_queue_abc/wells/I06/qc/I06_registration_qc_montage.png,9x3x2868x2868,9x3x1649x620,2868,2868,1649,620,8225424,1022380,0.12429511232490872,12.429511232490873,1219,2868,1317,1937,Overlap crop is stored in registered-frame coordinates. Per-day original-space mapping requires applying the inverse registration shift for each day.,"day8:dy=0.0,dx=0.0|day12:dy=36.6,dx=0.0|day16:dy=0.0,dx=-930.2|day20:dy=1218.1,dx=0.0|day25:dy=0.0,dx=170.1|day29:dy=0.0,dx=1256.9|day32:dy=0.0,dx=1232.7|day36:dy=0.0,dx=723.9|day39:dy=0.0,dx=1316.8",6,0.5408646970613232,review_low_overlap,very_low_overlap_retained,True,overlap_only_analysis,review_only,registered_common_overlap,True,5,LOCAL_PROCESSED_OUTPUT/dashboard/previews/I06,LOCAL_PROCESSED_OUTPUT/dashboard/roi_previews/I06
