sample_id,plate_id,well_id,condition,metadata_source
C17,Plate1,C17,PLD_Control,inferred_from_path
C20,Plate1,C20,PLD_TMEMki,inferred_from_path
C8,Plate1,C8,TMEM_KO,inferred_from_path
D17,Plate1,D17,PLD_Control,inferred_from_path
D20,Plate1,D20,PLD_TMEMki,inferred_from_path
D8,Plate1,D8,TMEM_KO,inferred_from_path
E17,Plate1,E17,PLD_Control,inferred_from_path
E20,Plate1,E20,PLD_TMEMki,inferred_from_path
E8,Plate1,E8,TMEM_KO,inferred_from_path
F17,Plate1,F17,PLD_Control,inferred_from_path
F20,Plate1,F20,PLD_TMEMki,inferred_from_path
F8,Plate1,F8,TMEM_KO,inferred_from_path
G17,Plate1,G17,PLD_Control,inferred_from_path
G20,Plate1,G20,PLD_TMEMki,inferred_from_path
G8,Plate1,G8,TMEM_KO,inferred_from_path
H17,Plate1,H17,PLD_Control,inferred_from_path
H20,Plate1,H20,PLD_TMEMki,inferred_from_path
H8,Plate1,H8,TMEM_KO,inferred_from_path
